"first_name","last_name","hire_date"
"Gay","Roisin","1986-07-16"
"Jaber","Schueller","1986-09-13"
"Danai","Quadeer","1986-05-01"
"Shim","Lupu","1986-01-10"
"Marla","Verspoor","1986-09-03"
"Ziva","Pero","1986-03-17"
"Garnik","Kroft","1986-07-04"
"Mari","Back","1986-06-04"
"Uma","Picci","1986-09-09"
"Lein","Lung","1986-03-22"
"Malu","Luck","1986-08-18"
"Huan","Gips","1986-08-13"
"Urs","Ermel","1986-03-12"
"King","Lund","1986-04-14"
"Fen","Ranze","1986-07-25"
"Fei","Gils","1986-08-07"
"Ult","Merro","1986-07-10"
"IEEE","Erev","1986-07-02"
"Qunsheng","Speer","1986-02-13"
"Zhenhua","Milicic","1986-08-04"
"Stabislas","Domenig","1986-08-04"
"Irene","Setia","1986-08-10"
"Shuichi","Swiler","1986-06-08"
"Shigeu","Denna","1986-04-10"
"Huai","Birrer","1986-03-28"
"Wayne","Levergood","1986-05-05"
"Marin","Ashish","1986-07-11"
"Syozo","Sommen","1986-03-25"
"Shrikanth","Ramalingam","1986-03-10"
"Fumiya","Vilarrasa","1986-06-27"
"Krassimir","Sgarro","1986-08-04"
"Stein","Kulisch","1986-06-11"
"Mokhtar","Chiodo","1986-04-06"
"Serif","Streit","1986-03-17"
"Tze","Chinin","1986-09-22"
"Jeanne","Zlotek","1986-09-03"
"Insup","Copas","1986-01-03"
"Richard","Godskesen","1986-03-22"
"Serge","Sifakis","1986-06-07"
"Sigeru","Langford","1986-05-17"
"Mario","Narahari","1986-02-12"
"Lijia","Birta","1986-02-01"
"Xuedong","Fujisaki","1986-03-09"
"Ottavia","Perl","1986-07-01"
"Boriana","Lunn","1986-08-06"
"Khue","Ramsak","1986-08-10"
"Danel","Danecki","1986-05-04"
"Maren","Parascandalo","1986-07-06"
"Woody","Guerreiro","1986-10-09"
"Jingling","Schaaf","1986-06-29"
"Jaideep","Whittlesey","1986-09-30"
"Shigehito","Matzat","1986-08-07"
"Qunsheng","Hanratty","1986-12-14"
"Mohan","Sadowski","1986-07-30"
"Yuping","Hofman","1986-09-03"
"Kristin","Schlegelmilch","1986-01-21"
"Eckart","Burnard","1986-12-30"
"Jackson","Lorch","1986-12-05"
"Piyawadee","England","1986-06-06"
"Bojan","Diderrich","1986-04-16"
"Mari","Waschkowski","1986-05-05"
"Stabislas","Luit","1986-02-23"
"Zongyan","Jeansoulin","1986-08-01"
"Tsvetan","Stranks","1986-05-20"
"Eishiro","Khalil","1986-10-13"
"Vugranam","Roohalamini","1986-06-12"
"Subir","Matzel","1986-06-20"
"Munir","Veldwijk","1986-03-17"
"Billie","Macedo","1986-10-03"
"Pranjal","Mukaidono","1986-06-15"
"Ingmar","Massonet","1986-03-31"
"Anyuan","Cannane","1986-02-02"
"Lucien","Riesenhuber","1986-09-04"
"Valeri","Kossowski","1986-03-04"
"Martina","Perfilyeva","1986-01-12"
"Boutros","Chiodo","1986-08-10"
"Thodoros","Luders","1986-11-09"
"Tuval","Lamparter","1986-11-06"
"Yagil","Apsitis","1986-09-18"
"Juichirou","Marshall","1986-02-22"
"Rasiah","Bouloucos","1986-02-16"
"Zongyan","Linares","1986-04-15"
"Salvador","Berstel","1986-02-05"
"Quingbo","Schurmann","1986-08-31"
"Pasqua","Marzano","1986-09-05"
"Junichi","Trelles","1986-12-05"
"Hidde","Akiyama","1986-02-15"
"Boaz","Giveon","1986-10-19"
"Atreye","Redmiles","1986-01-21"
"Qunsheng","Birrer","1986-05-13"
"Taiji","Hainaut","1986-02-03"
"Jaewoo","Ratnaker","1986-06-02"
"Pranay","Perez","1986-05-13"
"Gilbert","Trelles","1986-09-22"
"Chriss","Baez","1986-09-22"
"Garnik","Litzkow","1986-10-01"
"Teiji","Wuwongse","1986-07-18"
"Olivera","Shumilov","1986-03-19"
"Chiradeep","Ciolek","1986-12-10"
"Olivera","Thibadeau","1986-12-23"
"Subbu","Begiun","1986-07-21"
"Clyde","Swift","1986-03-14"
"Mack","Erdi","1986-09-29"
"Shirish","Osgood","1986-06-10"
"Tetsushi","Melski","1986-11-08"
"Gopalakrishnan","Baba","1986-12-15"
"Patricia","Ullian","1986-04-15"
"Indrajit","Peck","1986-06-16"
"Bedrich","Businaro","1986-09-25"
"Doowon","Mukaidono","1986-11-03"
"Makato","Gide","1986-01-14"
"Anneke","Munke","1986-08-02"
"Tetsurou","Garnick","1986-12-14"
"Martien","Walstra","1986-10-22"
"Sreekrishna","Wynblatt","1986-08-19"
"Arif","Macedo","1986-12-22"
"Nahid","Neiman","1986-09-20"
"Nidapan","Hoppenstand","1986-10-29"
"Zhenhua","Adachi","1986-07-01"
"Golgen","Marquardt","1986-07-30"
"Vincent","Larfeldt","1986-09-20"
"Alair","Hiroyama","1986-03-01"
"Hein","Conta","1986-01-23"
"Vesna","Raczkowsky","1986-10-01"
"Patricia","Preusig","1986-07-19"
"Tadanori","Birke","1986-09-24"
"Kotesh","Saoudi","1986-12-02"
"Zsolt","Baca","1986-09-13"
"Elvis","Brendel","1986-08-16"
"Sadegh","Daescu","1986-06-06"
"Adly","Landherr","1986-04-20"
"Fei","Miyakawa","1986-10-07"
"Christoph","Rindone","1986-09-15"
"Ghassan","Hoogerwoord","1986-09-17"
"Shigeu","Langford","1986-12-19"
"Pranjal","Perin","1986-09-23"
"Guther","Varley","1986-09-28"
"Otilia","Bhattacharjee","1986-08-27"
"Marsha","Burnard","1986-11-16"
"Pintsang","Danecki","1986-04-21"
"Turgut","Gide","1986-07-07"
"Sudhanshu","Cyne","1986-12-14"
"Ramalingam","Gunderson","1986-05-04"
"Rosella","Schurmann","1986-12-25"
"Djenana","Ebeling","1986-08-30"
"Yongdong","Ananiadou","1986-03-21"
"Aloke","Schwabacher","1986-02-02"
"Gudjon","Randi","1986-12-06"
"Fun","Ouhyoung","1986-09-23"
"Toshimi","Flexer","1986-04-18"
"Nikolaos","Thombley","1986-04-06"
"Morris","Quadeer","1986-03-29"
"Baziley","Sethi","1986-07-05"
"Hatim","Baja","1986-08-24"
"Hironoby","Stamatiou","1986-12-29"
"Subhrajyoti","Murthy","1986-05-30"
"Jaber","Birnbaum","1986-10-27"
"Danil","Kushner","1986-06-14"
"Tristan","Chelton","1986-12-07"
"Mahendra","Sidou","1986-02-26"
"Tetsurou","Bouloucos","1986-04-28"
"Leandro","Zongker","1986-09-21"
"Kamakshi","Mansanne","1986-01-23"
"Laurentiu","Kornatzky","1986-05-07"
"Shao","Masaki","1986-12-06"
"Changho","Khamsi","1986-06-17"
"Lalit","Mahnke","1986-11-11"
"Yuping","Speek","1986-12-22"
"Clyde","Atrawala","1986-11-21"
"Hatsukazu","Aloisi","1986-02-20"
"Berry","Panwar","1986-11-26"
"Mrinalini","Laventhal","1986-05-04"
"Hitofumi","Schaft","1986-05-18"
"Ioana","Szilard","1986-05-13"
"Kristinn","Varman","1986-01-13"
"Juichirou","Giaccio","1986-04-20"
"Kotesh","Tanemo","1986-11-03"
"Poornachandra","Mahnke","1986-02-28"
"Xudong","Moehrke","1986-12-19"
"Abdelaziz","Hofmeyr","1986-11-04"
"Yahiko","Chartres","1986-03-18"
"Domenick","Goodrum","1986-08-10"
"Almudena","Butterworth","1986-11-28"
"Houman","Stanfel","1986-02-10"
"Angus","Linares","1986-10-04"
"Marsja","Siegrist","1986-10-04"
"Zhilian","Kobara","1986-10-25"
"Mabry","Grospietsch","1986-07-31"
"Miomir","Raoux","1986-11-22"
"Takahiro","Naumovich","1986-02-03"
"Fumiko","Cools","1986-10-12"
"Alois","Feldmann","1986-02-26"
"Shakhar","Beutelspacher","1986-05-24"
"Insup","Zongker","1986-04-15"
"Kazuhiro","Vrecion","1986-10-22"
"Khosrow","Ishibashi","1986-07-13"
"Conrado","Callaway","1986-03-02"
"Anneli","Linnainmaa","1986-01-17"
"Satyanarayana","Garigliano","1986-07-15"
"Xiaoheng","Schwabacher","1986-12-30"
"Patricia","Dayana","1986-01-21"
"Augustine","Schrooten","1986-10-24"
"Bojan","Kaminger","1986-05-21"
"Anneli","Staylopatis","1986-11-05"
"Kasidit","Picel","1986-04-21"
"Ingmar","Maierhofer","1986-11-19"
"Hugh","Geffroy","1986-11-26"
"Zissis","Murthy","1986-08-29"
"Randi","Erie","1986-08-31"
"Rosalie","Schoegge","1986-04-24"
"Masasuke","Yurov","1986-03-31"
"Morrie","Asrin","1986-07-19"
"Yongmin","Lenart","1986-08-12"
"Takahiro","Krone","1986-05-24"
"Mong","Dengi","1986-11-09"
"Aksel","Farrar","1986-12-05"
"Bilhanan","Smeets","1986-06-10"
"Masato","Rothe","1986-02-13"
"Fumiya","Polajnar","1986-06-24"
"Bezalel","Leaver","1986-06-22"
"Van","Tomescu","1986-05-30"
"Vitali","Papastamatiou","1986-01-17"
"Shimshon","Miyakawa","1986-09-05"
"Gian","Benzmuller","1986-05-08"
"Qingxiang","Tsunoo","1986-03-11"
"Visit","Ghemri","1986-08-22"
"Bowen","Demke","1986-05-31"
"Ebbe","Beetstra","1986-03-05"
"Ebru","Beerel","1986-01-28"
"Kasturi","Schaar","1986-05-13"
"Mahmut","Alvarado","1986-12-26"
"Lenore","Vendrig","1986-11-19"
"Mong","Matzov","1986-04-30"
"Tsvetan","Pagter","1986-05-23"
"Karsten","Nivat","1986-09-20"
"Torsten","Chelton","1986-09-29"
"Subhankar","Parascandalo","1986-05-22"
"Kendra","Siepmann","1986-06-11"
"Sumali","Copas","1986-08-14"
"Lene","Hellwagner","1986-06-23"
"Sham","Gimbel","1986-12-26"
"Cristinel","Lamparter","1986-08-21"
"Douadi","Melton","1986-05-25"
"Willard","Mateescu","1986-10-13"
"Amstein","Stifter","1986-08-10"
"Etsuo","Larfeldt","1986-10-31"
"Douadi","Sifakis","1986-12-23"
"Aruna","Juneja","1986-09-14"
"Xinglin","Perelgut","1986-01-06"
"Moss","Kroll","1986-05-21"
"Caolyn","Ramsay","1986-02-24"
"Aran","Uhrik","1986-01-23"
"Lena","Escriba","1986-02-01"
"Youssef","Rosenbaum","1986-12-14"
"Houman","Narahara","1986-04-27"
"Susanta","Katiyar","1986-08-16"
"Shawna","Bahr","1986-10-10"
"Constantino","Murillo","1986-03-08"
"Younwoo","Zockler","1986-04-27"
"Masaru","Rosca","1986-04-25"
"Feipei","Tetzlaff","1986-03-11"
"Dekang","Itzfeldt","1986-12-03"
"Zhenbing","Massonet","1986-07-18"
"Khoa","Baig","1986-01-23"
"Moriyoshi","Lalonde","1986-05-11"
"Murthy","Verhoeff","1986-07-15"
"Herbert","Schlegelmilch","1986-09-21"
"Rildo","Vilarrasa","1986-08-10"
"Xiong","Samarati","1986-12-08"
"Teunis","Ushiama","1986-02-26"
"Vesna","Pagter","1986-08-12"
"Sigeru","Baez","1986-07-01"
"Trygve","Schwabacher","1986-04-23"
"Goo","Broomell","1986-07-11"
"Rildo","Turnbull","1986-11-23"
"Ulises","Unni","1986-06-02"
"Bilhanan","Hanratty","1986-08-21"
"Jeanna","Tokunaga","1986-05-11"
"Leif","Junot","1986-11-22"
"Sanjay","Uhrig","1986-12-21"
"Koichi","Cooke","1986-05-09"
"Xudong","Lundstrom","1986-04-29"
"Boriana","Demir","1986-09-18"
